timestamp,frame,fps,ear_left,ear_right,ear_avg,mar,ml_eye_closed_conf,ml_mouth_yawn_conf,fused_score,eye_closed_fused,closure_duration_s,yawn_duration_s,status
1773318943.7677,79,20.4,0.2315,0.2706,0.2511,0.0090,0.0860,0.1752,0.0000,0,0.0000,0.0000,NORMAL
1773318943.7827,80,66.8,0.2367,0.2671,0.2519,0.0099,0.1026,0.1827,0.0000,0,0.0000,0.0000,NORMAL
1773318943.8333,81,19.1,0.2613,0.2940,0.2776,0.0448,0.0851,0.2709,0.0000,0,0.0000,0.0000,NORMAL
1773318943.8463,82,88.2,0.2566,0.2840,0.2703,0.0135,0.0851,0.2622,0.0000,0,0.0000,0.0000,NORMAL
1773318943.8623,83,63.3,0.2524,0.2861,0.2692,0.0146,0.0851,0.2562,0.0000,0,0.0000,0.0000,NORMAL
1773318943.9119,84,20.2,0.2612,0.2991,0.2802,0.0083,0.1311,0.2092,0.0000,0,0.0000,0.0000,NORMAL
1773318943.9256,85,73.2,0.2504,0.3012,0.2758,0.0061,0.1311,0.2137,0.0000,0,0.0000,0.0000,NORMAL
1773318943.9756,86,19.9,0.2469,0.3050,0.2759,0.0731,0.1342,0.2225,0.0000,0,0.0000,0.0000,NORMAL
1773318943.9886,87,73.0,0.2533,0.2800,0.2666,0.0639,0.1159,0.2315,0.0000,0,0.0000,0.0000,NORMAL
1773318944.0411,88,19.3,0.2382,0.3141,0.2762,0.0336,0.1063,0.2295,0.0000,0,0.0000,0.0000,NORMAL
1773318944.1043,89,15.8,0.2460,0.3120,0.2790,0.0405,0.1600,0.2566,0.0000,0,0.0000,0.0000,NORMAL
1773318944.1280,90,43.1,0.2511,0.2843,0.2677,0.0682,0.1314,0.2587,0.0000,0,0.0000,0.0000,NORMAL
1773318944.1679,91,24.9,0.2508,0.3102,0.2805,0.0035,0.1965,0.2573,0.0000,0,0.0000,0.0000,NORMAL
1773318944.1919,92,40.7,0.2371,0.3156,0.2763,0.0083,0.1860,0.2770,0.0000,0,0.0000,0.0000,NORMAL
1773318944.2322,93,25.1,0.2893,0.3000,0.2947,0.0014,0.1799,0.2457,0.0000,0,0.0000,0.0000,NORMAL
1773318944.2542,94,46.0,0.2550,0.2991,0.2770,0.0056,0.1912,0.2572,0.0000,0,0.0000,0.0000,NORMAL
1773318944.2702,95,60.7,0.2615,0.3002,0.2809,0.0051,0.1887,0.2484,0.0000,0,0.0000,0.0000,NORMAL
1773318944.3128,96,23.6,0.2589,0.2964,0.2777,0.0084,0.2028,0.2397,0.0000,0,0.0000,0.0000,NORMAL
1773318944.3338,97,48.6,0.2682,0.2931,0.2806,0.0172,0.1564,0.2425,0.0000,0,0.0000,0.0000,NORMAL
