timestamp,frame,fps,ear_left,ear_right,ear_avg,mar,ml_eye_conf,ml_mouth_conf,fused,eye_closed_raw,eye_closed_valid,blink_dur,yawn_dur,yawn_count,perclos,status
1774194355.2834,69,32.1,0.2585,0.2352,0.2468,0.0062,0.8696,0.3793,0.2609,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.3454,70,16.2,0.2670,0.2590,0.2630,0.0038,0.8172,0.7014,0.2452,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.3760,71,30.4,0.2702,0.2610,0.2656,0.0036,0.8172,0.5776,0.2452,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.3922,72,70.4,0.2702,0.2584,0.2643,0.0035,0.8172,0.5776,0.2452,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.4067,73,66.8,0.2717,0.2602,0.2659,0.0037,0.8172,0.5776,0.2452,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.4899,74,12.0,0.2752,0.2725,0.2739,0.0026,0.6486,0.3280,0.1946,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.5168,75,38.3,0.2806,0.2732,0.2769,0.0024,0.6486,0.3667,0.1946,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.5474,76,31.9,0.2796,0.2706,0.2751,0.0027,0.6486,0.3667,0.1946,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.5634,77,61.5,0.2792,0.2709,0.2750,0.0028,0.6486,0.3667,0.1946,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.6175,78,18.7,0.2657,0.2552,0.2604,0.0027,0.9112,0.3796,0.2734,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.6421,79,41.5,0.2645,0.2494,0.2570,0.0032,0.9112,0.3796,0.2734,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.6585,80,60.4,0.2623,0.2497,0.2560,0.0030,0.9112,0.3872,0.2734,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.6736,81,61.9,0.2623,0.2502,0.2562,0.0027,0.9112,0.3872,0.2734,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.7466,82,13.8,0.2659,0.2648,0.2654,0.0045,0.9523,0.4401,0.2857,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.7670,83,48.1,0.2646,0.2712,0.2679,0.0043,0.9523,0.4187,0.2857,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.7837,84,59.9,0.2647,0.2702,0.2675,0.0046,0.9523,0.4187,0.2857,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.8158,85,31.7,0.2645,0.2689,0.2667,0.0044,0.9523,0.4187,0.2857,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.8897,86,13.6,0.2619,0.2734,0.2677,0.0047,0.9257,0.4980,0.2777,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.9083,87,54.6,0.2617,0.2710,0.2664,0.0049,0.9257,0.6271,0.2777,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.9243,88,61.5,0.2708,0.2778,0.2743,0.0050,0.8208,0.5726,0.2463,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194355.9399,89,65.0,0.2715,0.2779,0.2747,0.0050,0.8208,0.5726,0.2463,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194356.0199,90,12.5,0.2839,0.2702,0.2771,0.0018,0.8751,0.2904,0.2625,0,0,0.0000,0.0000,0,0.0000,NORMAL
